s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
7.1458196,5.1432740,-0.4264522,3.0000000,1.2654540,0.3345460
7.1957903,5.1932592,-0.4265178,3.0000000,1.2655981,0.3344019
7.2457611,5.2432401,-0.4265843,3.0000000,1.2657422,0.3342578
7.2957319,5.2932156,-0.4266521,3.0000000,1.2658863,0.3341137
7.3457026,5.3431847,-0.4267215,3.0000000,1.2660304,0.3339696
7.3956734,5.3931462,-0.4267929,3.0000000,1.2661745,0.3338255
7.4456442,5.4430991,-0.4268665,3.0000000,1.2663186,0.3336814
7.4956149,5.4930422,-0.4269427,3.0000000,1.2664627,0.3335373
7.5455857,5.5430044,-0.4270217,3.0000000,1.2666068,0.3333932
7.5955565,5.5929898,-0.4271042,3.0000000,1.2667509,0.3332491
7.6455272,5.6429667,-0.4271906,3.0000000,1.2668991,0.3331009
7.6954980,5.6929369,-0.4272815,3.0000000,1.2671129,0.3328871
7.7454688,5.7429025,-0.4273775,3.0000000,1.2673267,0.3326733
7.7954395,5.7928653,-0.4274793,3.0000000,1.2675405,0.3324595
7.8454103,5.8428273,-0.4275874,3.0000000,1.2677542,0.3322458
7.8953811,5.8927904,-0.4277024,3.0000000,1.2679680,0.3320320
7.9453518,5.9427565,-0.4278248,3.0000000,1.2681818,0.3318182
7.9953226,5.9927276,-0.4279554,3.0000000,1.2683956,0.3316044
8.0452934,6.0426899,-0.4280947,3.0000000,1.2686094,0.3313906
8.0952641,6.0926469,-0.4282430,3.0000000,1.2688232,0.3311768
8.1452349,6.1426101,-0.4284005,3.0000000,1.2690369,0.3309631
8.1952057,6.1925782,-0.4285674,3.0000000,1.2672194,0.3286874
8.2451764,6.2425503,-0.4287440,3.0000000,1.2650787,0.3260837
8.2951472,6.2925253,-0.4289303,3.0000000,1.2629380,0.3234800
8.3451180,6.3425021,-0.4291266,3.0000000,1.2607973,0.3208764
8.3950887,6.3924796,-0.4293330,3.0000000,1.2586566,0.3182727
8.4450595,6.4424568,-0.4295497,3.0000000,1.2565159,0.3156690
8.4950303,6.4924327,-0.4297770,3.0000000,1.2543752,0.3130653
8.5450010,6.5423950,-0.4300145,3.0000000,1.2522345,0.3104616
8.5949718,6.5923494,-0.4302571,3.0000000,1.2500938,0.3078580
8.6449426,6.6423037,-0.4304964,3.0000000,1.2479530,0.3052543
8.6949133,6.6922597,-0.4307236,3.0000000,1.2471991,0.3040996
8.7448841,6.7422191,-0.4309302,3.0000000,1.2471386,0.3036694
8.7948549,6.7921837,-0.4311076,3.0000000,1.2470781,0.3032392
8.8448256,6.8421550,-0.4312471,3.0000000,1.2470176,0.3028090
8.8947964,6.8921350,-0.4313402,3.0000000,1.2469571,0.3023788
8.9447672,6.9421252,-0.4313782,3.0000000,1.2468966,0.3019486
8.9947379,6.9921273,-0.4313525,3.0000000,1.2468361,0.3015184
9.0447087,7.0420443,-0.4312535,2.9959399,1.2467756,0.3010882
9.0946795,7.0919373,-0.4310604,2.9854100,1.2467151,0.3006580
9.1446502,7.1418458,-0.4307456,2.9685082,1.2466546,0.3002278
9.1946210,7.1917707,-0.4302815,2.9453410,1.2469988,0.3013575
9.2445918,7.2417127,-0.4296404,2.9160222,1.2477984,0.3042422
9.2945625,7.2916726,-0.4287949,2.8847319,1.2485979,0.3071269
9.3445333,7.3416514,-0.4277174,2.8540053,1.2493975,0.3100116
9.3945041,7.3916497,-0.4263802,2.8238741,1.2501971,0.3128963
9.4444748,7.4416684,-0.4247559,2.7942525,1.2509966,0.3157810
9.4944456,7.4917083,-0.4228167,2.7650110,1.2517962,0.3186657
9.5444164,7.5415728,-0.4205459,2.7360085,1.2525957,0.3215504
9.5943871,7.5913950,-0.4179212,2.7070933,1.2533953,0.3244351
9.6443579,7.6412258,-0.4149257,2.6781030,1.2541949,0.3273198
9.6943287,7.6910576,-0.4115448,2.6489776,1.2537250,0.3308883
9.7442994,7.7408828,-0.4077640,2.6196858,1.2499002,0.3362639
9.7942702,7.7906938,-0.4035689,2.5901932,1.2460754,0.3416395
9.8442410,7.8404831,-0.3989448,2.5604615,1.2422506,0.3470152
9.8942117,7.8902430,-0.3938773,2.5304489,1.2384259,0.3523908
9.9441825,7.9399659,-0.3883518,2.5002429,1.2346011,0.3577664
9.9941533,7.9896444,-0.3823539,2.4699735,1.2307763,0.3631420
10.0441240,8.0391283,-0.3758871,2.4397734,1.2269515,0.3685176
10.0940948,8.0885111,-0.3689162,2.4097775,1.2231267,0.3738932
10.1440656,8.1378280,-0.3614065,2.3801210,1.2193019,0.3792689
10.1940363,8.1870718,-0.3533285,2.3508054,1.2150159,0.3849841
10.2440071,8.2362354,-0.3446527,2.3217833,1.2053108,0.3946892
10.2939779,8.2853117,-0.3353497,2.2929960,1.1956057,0.4043943
10.3439486,8.3342937,-0.3253900,2.2643715,1.1859005,0.4140995
10.3939194,8.3831743,-0.3147443,2.2358231,1.1761954,0.4238046
10.4438902,8.4319463,-0.3033830,2.2074075,1.1664902,0.4335098
10.4938609,8.4806027,-0.2912768,2.1792547,1.1567851,0.4432149
10.5438317,8.5287751,-0.2784939,2.1515207,1.1470799,0.4529201
10.5938025,8.5766704,-0.2649502,2.1243923,1.1373748,0.4626252
10.6437732,8.6243838,-0.2505746,2.0980917,1.1276697,0.4723303
10.6937440,8.6718807,-0.2353298,2.0727212,1.1179645,0.4820355
10.7437148,8.7191266,-0.2191781,2.0483374,1.1012660,0.4987340
10.7936855,8.7660871,-0.2020819,2.0250021,1.0836349,0.5163651
10.8436563,8.8127277,-0.1840037,2.0027822,1.0660039,0.5339961
10.8936271,8.8590138,-0.1649059,1.9817499,1.0483729,0.5516271
10.9435978,8.9049109,-0.1447509,1.9618002,1.0307419,0.5692581
10.9935686,8.9503846,-0.1235012,1.9427168,1.0131109,0.5868891
11.0435394,8.9950837,-0.1012821,1.9242864,0.9954799,0.6045201
11.0935101,9.0390748,-0.0780410,1.9062967,0.9778488,0.6221512
11.1434809,9.0825208,-0.0536641,1.8885350,0.9602178,0.6397822
11.1934517,9.1253691,-0.0281419,1.8709684,0.9425868,0.6574132
11.2434224,9.1675668,-0.0014647,1.8536756,0.9156693,0.6852200
11.2933932,9.2090611,0.0263770,1.8367292,0.8845064,0.7176787
11.3433640,9.2497994,0.0553927,1.8201936,0.8533436,0.7501373
11.3933347,9.2897288,0.0855921,1.8041198,0.8221807,0.7825959
11.4433055,9.3287965,0.1169848,1.7884519,0.7910179,0.8150545
11.4932763,9.3669498,0.1495803,1.7730954,0.7598551,0.8475132
11.5432470,9.4040140,0.1832736,1.7578500,0.7286922,0.8799718
11.5932178,9.4398242,0.2179347,1.7425509,0.6975294,0.9124304
11.6431886,9.4745558,0.2537573,1.7271150,0.6663666,0.9448891
11.6931593,9.5081369,0.2907162,1.7116023,0.6352037,0.9773477
11.7431301,9.5404955,0.3287865,1.6961574,0.6039650,1.0087166
11.7931008,9.5715597,0.3679431,1.6810959,0.5726474,1.0389521
11.8430716,9.6012576,0.4081612,1.6667975,0.5413298,1.0691877
11.8930424,9.6295174,0.4494156,1.6537462,0.5100122,1.0994232
11.9430131,9.6562670,0.4916814,1.6434283,0.4786946,1.1296587
11.9929839,9.6814347,0.5349336,1.6357369,0.4473770,1.1598943
12.0429547,9.7049485,0.5791471,1.6320319,0.4160594,1.1901298
12.0929254,9.7266622,0.6241029,1.6324612,0.3847418,1.2203654
12.1428962,9.7466568,0.6698979,1.6367316,0.3534242,1.2506009
12.1928670,9.7649311,0.7164506,1.6433487,0.3221065,1.2808364
12.2428377,9.7814813,0.7636748,1.6522451,0.3006254,1.2962684
12.2928085,9.7963040,0.8114843,1.6617242,0.3027517,1.2761717
12.3427793,9.8093956,0.8597929,1.6711163,0.3048781,1.2560750
12.3927500,9.8207524,0.9085144,1.6799292,0.3070044,1.2359783
12.4427208,9.8303709,0.9575625,1.6877369,0.3091308,1.2158817
12.4926916,9.8382475,1.0068510,1.6941146,0.3112571,1.1957850
12.5426623,9.8443785,1.0562938,1.6994607,0.3133835,1.1756883
12.5926331,9.8487899,1.1062014,1.7045982,0.3155098,1.1555916
12.6426039,9.8514577,1.1564148,1.7101967,0.3176362,1.1354950
12.6925746,9.8523917,1.2065904,1.7168946,0.3197625,1.1153983
12.7425454,9.8516343,1.2566841,1.7253627,0.3217228,1.0935096
12.7925162,9.8492278,1.3066516,1.7354800,0.3221551,1.0551343
12.8424869,9.8452144,1.3564486,1.7467341,0.3225875,1.0167589
12.8924577,9.8396363,1.4060307,1.7588026,0.3230198,0.9783836
12.9424285,9.8325359,1.4553538,1.7714421,0.3234522,0.9400083
12.9923992,9.8239554,1.5043736,1.7844505,0.3238845,0.9016330
13.0423700,9.8139371,1.5530459,1.7976733,0.3243169,0.8632576
13.0923408,9.8024648,1.6015588,1.8110482,0.3247492,0.8248823
13.1423115,9.7894794,1.6501565,1.8245495,0.3251816,0.7865070
13.1922823,9.7751399,1.6982876,1.8381807,0.3256140,0.7481317
13.2422531,9.7594887,1.7459284,1.8519686,0.3260463,0.7097563
13.2922238,9.7425680,1.7930555,1.8659367,0.3425052,0.6962519
13.3421946,9.7244202,1.8396453,1.8800487,0.3607061,0.6854509
13.3921654,9.7050877,1.8856743,1.8942557,0.3789070,0.6746499
13.4421361,9.6846128,1.9311189,1.9085001,0.3971080,0.6638489
13.4921069,9.6630379,1.9759555,1.9227171,0.4153089,0.6530479
13.5420777,9.6404052,2.0201607,1.9368460,0.4335098,0.6422468
13.5920484,9.6166656,2.0638749,1.9508827,0.4517107,0.6314458
13.6420192,9.5915736,2.1075369,1.9648517,0.4699116,0.6206448
13.6919900,9.5655046,2.1504983,1.9788023,0.4881126,0.6098438
13.7419607,9.5384927,2.1927573,1.9928051,0.5063135,0.5990428
13.7919315,9.5105723,2.2343125,2.0069402,0.5242604,0.5913992
13.8419023,9.4817776,2.2751623,2.0212435,0.5421014,0.5850712
13.8918730,9.4521429,2.3153052,2.0357340,0.5599425,0.5787433
13.9418438,9.4217023,2.3547396,2.0504172,0.5777836,0.5724153
13.9918146,9.3904903,2.3934640,2.0652880,0.5956246,0.5660874
14.0417853,9.3585409,2.4314768,2.0803577,0.6134657,0.5597594
14.0917561,9.3257347,2.4689488,2.0956979,0.6313067,0.5534314
14.1417269,9.2918604,2.5061251,2.1113787,0.6491478,0.5471035
