s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
10.3326393,8.1611089,-0.2477284,2.3720349,1.0844264,0.5134585
10.3825554,8.2109627,-0.2448831,2.3411058,1.0824103,0.5157967
10.4324716,8.2608019,-0.2414544,2.3112656,1.0803943,0.5181348
10.4823877,8.3105915,-0.2373992,2.2825183,1.0783782,0.5204730
10.5323038,8.3602736,-0.2326796,2.2548820,1.0763622,0.5228112
10.5822199,8.4099038,-0.2272490,2.2283948,1.0743461,0.5251494
10.6321361,8.4594562,-0.2210673,2.2031357,1.0723301,0.5274876
10.6820522,8.5089050,-0.2140942,2.1792453,1.0671413,0.5328587
10.7319683,8.5582242,-0.2062898,2.1569002,1.0578142,0.5421858
10.7818845,8.6073879,-0.1976138,2.1363304,1.0484871,0.5515129
10.8318006,8.6563703,-0.1880260,2.1178539,1.0391600,0.5608400
10.8817167,8.7051455,-0.1774862,2.1015960,1.0298330,0.5701670
10.9316329,8.7536875,-0.1659545,2.0872465,1.0205059,0.5794941
10.9815490,8.8020020,-0.1533820,2.0741211,1.0111788,0.5888212
11.0314651,8.8501094,-0.1397286,2.0614625,1.0018517,0.5981483
11.0813813,8.8978988,-0.1250183,2.0483977,0.9925246,0.6074754
11.1312974,8.9453397,-0.1092585,2.0342090,0.9831975,0.6168025
11.1812135,8.9924018,-0.0924564,2.0185659,0.9707503,0.6294594
11.2311297,9.0390544,-0.0746192,2.0014475,0.9496115,0.6513923
11.2810458,9.0852672,-0.0557539,1.9828171,0.9284727,0.6733251
11.3309619,9.1310097,-0.0358680,1.9626226,0.9073339,0.6952580
11.3808781,9.1762513,-0.0149685,1.9407781,0.8861951,0.7171908
11.4307942,9.2209616,0.0069373,1.9175779,0.8650562,0.7391237
11.4807103,9.2652297,0.0299062,1.8935167,0.8439174,0.7610566
11.5306265,9.3091713,0.0540409,1.8691276,0.8227786,0.7829894
11.5805426,9.3524477,0.0792216,1.8449890,0.8016398,0.8049223
11.6304587,9.3950039,0.1054743,1.8217486,0.7805010,0.8268551
11.6803748,9.4367851,0.1328249,1.7997192,0.7596591,0.8486328
11.7302910,9.4777362,0.1612994,1.7790688,0.7416682,0.8689205
11.7802071,9.5178025,0.1909237,1.7600009,0.7236772,0.8892082
11.8301232,9.5569289,0.2217237,1.7427809,0.7056863,0.9094960
11.8800394,9.5950605,0.2537255,1.7273587,0.6876953,0.9297837
11.9299555,9.6321424,0.2869549,1.7134623,0.6697044,0.9500714
11.9798716,9.6681274,0.3214450,1.7005406,0.6517135,0.9703592
12.0297878,9.7029561,0.3571975,1.6880301,0.6337225,0.9906469
12.0797039,9.7365449,0.3941621,1.6753228,0.6157316,1.0109347
12.1296200,9.7688220,0.4322971,1.6621827,0.5977406,1.0312224
12.1795362,9.7997152,0.4715611,1.6486609,0.5797497,1.0515101
12.2294523,9.8291526,0.5119124,1.6351393,0.5712653,1.0519957
12.2793684,9.8570621,0.5533095,1.6221006,0.5635570,1.0508648
12.3292846,9.8833717,0.5957108,1.6102846,0.5558488,1.0497339
12.3792007,9.9080094,0.6390749,1.6000852,0.5481405,1.0486030
12.4291168,9.9309032,0.6833600,1.5914866,0.5404322,1.0474720
12.4790330,9.9519710,0.7285001,1.5841915,0.5327239,1.0463411
12.5289491,9.9711597,0.7744406,1.5777821,0.5250156,1.0452102
12.5788652,9.9884375,0.8211367,1.5715643,0.5173073,1.0440793
12.6287814,10.0037620,0.8685210,1.5651377,0.5095990,1.0429484
12.6786975,10.0170911,0.9165263,1.5584715,0.5018907,1.0418174
12.7286136,10.0283826,0.9650852,1.5517614,0.5000000,1.0237775
12.7785297,10.0375942,1.0141303,1.5452391,0.5000000,1.0002421
12.8284459,10.0446838,1.0635944,1.5397683,0.5000000,0.9767067
12.8783620,10.0496091,1.1134101,1.5354008,0.5000000,0.9531713
12.9282781,10.0523280,1.1635100,1.5337110,0.5000000,0.9296359
12.9781943,10.0528091,1.2132737,1.5356914,0.5000000,0.9061005
13.0281104,10.0511295,1.2628244,1.5417098,0.5000000,0.8825651
13.0780265,10.0473546,1.3124041,1.5512178,0.5000000,0.8590297
13.1279427,10.0415401,1.3619169,1.5642783,0.5000000,0.8354943
13.1778588,10.0337418,1.4112667,1.5792485,0.5000000,0.8119589
13.2277749,10.0240151,1.4603575,1.5949239,0.5018377,0.7890504
13.2776911,10.0124159,1.5090933,1.6105717,0.5049796,0.7665867
13.3276072,9.9989998,1.5573780,1.6256298,0.5081214,0.7441231
13.3775233,9.9838224,1.6051157,1.6396081,0.5112633,0.7216594
13.4274395,9.9669393,1.6522102,1.6527931,0.5144052,0.6991957
13.4773556,9.9483594,1.6986819,1.6660711,0.5175470,0.6767321
13.5272717,9.9281505,1.7444676,1.6802577,0.5206889,0.6542684
13.5771879,9.9064344,1.7894790,1.6961549,0.5238308,0.6318047
13.6271040,9.8832969,1.8337263,1.7145844,0.5269726,0.6093411
13.6770201,9.8588236,1.8772197,1.7356570,0.5301145,0.5868774
13.7269363,9.8331002,1.9199696,1.7589384,0.5348892,0.5710978
13.7768524,9.8062124,1.9619860,1.7841173,0.5419647,0.5647366
13.8267685,9.7782458,2.0032794,1.8109517,0.5490401,0.5583754
13.8766846,9.7492860,2.0438598,1.8392456,0.5561156,0.5520142
13.9266008,9.7194188,2.0837375,1.8687615,0.5631910,0.5456530
13.9765169,9.6886557,2.1230150,1.8992538,0.5702665,0.5392918
14.0264330,9.6570611,2.1617064,1.9305420,0.5773420,0.5329306
14.0763492,9.6247508,2.1997589,1.9624968,0.5844174,0.5265695
14.1262653,9.5917724,2.2372086,1.9950287,0.5914929,0.5202083
14.1761814,9.5581732,2.2740918,2.0281540,0.5985684,0.5138471
14.2260976,9.5240005,2.3104449,2.0619464,0.6066458,0.5088280
14.2760137,9.4893019,2.3463039,2.0964534,0.6178063,0.5079385
14.3259298,9.4541245,2.3817053,2.1317012,0.6289669,0.5070490
14.3758460,9.4185159,2.4166851,2.1676982,0.6401274,0.5061595
14.4257621,9.3825234,2.4512796,2.2042069,0.6512879,0.5052699
14.4756782,9.3462024,2.4855158,2.2407877,0.6624484,0.5043804
14.5255944,9.3095774,2.5194122,2.2770188,0.6736089,0.5034909
14.5755105,9.2726462,2.5529776,2.3124972,0.6847695,0.5026014
14.6254266,9.2354135,2.5862123,2.3468395,0.6959300,0.5017119
14.6753428,9.1978845,2.6191167,2.3799145,0.7070905,0.5008224
14.7252589,9.1600640,2.6516910,2.4118013,0.7179437,0.5000000
14.7751750,9.1219569,2.6839358,2.4425726,0.7250316,0.5000000
14.8250912,9.0835682,2.7158513,2.4722949,0.7321195,0.5000000
14.8750073,9.0449029,2.7474379,2.5010291,0.7392075,0.5000000
14.9249234,9.0059659,2.7786960,2.5288265,0.7462954,0.5000000
14.9748396,8.9667758,2.8096152,2.5557292,0.7533833,0.5000000
15.0247557,8.9273355,2.8401974,2.5817754,0.7604713,0.5000000
15.0746718,8.8876383,2.8704511,2.6069993,0.7675592,0.5000000
15.1245879,8.8476886,2.9003760,2.6314321,0.7746471,0.5000000
15.1745041,8.8074912,2.9299715,2.6551069,0.7817351,0.5000000
15.2244202,8.7670506,2.9592370,2.6780586,0.7888230,0.5000000
15.2743363,8.7263715,2.9881720,2.7003199,0.7908546,0.5005064
15.3242525,8.6854585,3.0167761,2.7219212,0.7923594,0.5010656
15.3741686,8.6443163,3.0450486,2.7428907,0.7938642,0.5016248
15.4240847,8.6029495,3.0729891,2.7632630,0.7953691,0.5021840
15.4740009,8.5613577,3.1006004,2.7830779,0.7968739,0.5027432
15.5239170,8.5195462,3.1278821,2.8023741,0.7983787,0.5033024
15.5738331,8.4775231,3.1548325,2.8211896,0.7998836,0.5038616
15.6237493,8.4352926,3.1814528,2.8395610,0.8013884,0.5044208
15.6736654,8.3928590,3.2077440,2.8575164,0.8028932,0.5049800
15.7235815,8.3502263,3.2337072,2.8750759,0.8043981,0.5055392
15.7734977,8.3073988,3.2593436,2.8850512,0.8028704,0.5052754
15.8234138,8.2643806,3.2846541,2.8867920,0.8002543,0.5047162
15.8733299,8.2211760,3.3096400,2.8801876,0.7976381,0.5041571
15.9232461,8.1777891,3.3343022,2.8653309,0.7950219,0.5035979
15.9731622,8.1341962,3.3586568,2.8423328,0.7924057,0.5030387
16.0230783,8.0904027,3.3826929,2.8185068,0.7897895,0.5024795
16.0729945,8.0464290,3.4063832,2.7946238,0.7871733,0.5019203
16.1229106,8.0022729,3.4297129,2.7709094,0.7845572,0.5013611
16.1728267,7.9579319,3.4526671,2.7473805,0.7819410,0.5008019
16.2227428,7.9134039,3.4752309,2.7240304,0.7793248,0.5002427
16.2726590,7.8686866,3.4973896,2.7008509,0.7732411,0.5012916
16.3225751,7.8237776,3.5191283,2.6778319,0.7644991,0.5035734
16.3724912,7.7786746,3.5404320,2.6550033,0.7557570,0.5058552
16.4224074,7.7333755,3.5612860,2.6324305,0.7470149,0.5081371
16.4723235,7.6878066,3.5817068,2.6101858,0.7382729,0.5104189
16.5222396,7.6419828,3.6016666,2.5883494,0.7295308,0.5127007
16.5721558,7.5959582,3.6211198,2.5670102,0.7207888,0.5149825
16.6220719,7.5497324,3.6400454,2.5462248,0.7120467,0.5172644
16.6719880,7.5033052,3.6584224,2.5260228,0.7033046,0.5195462
16.7219042,7.4566764,3.6762299,2.5064369,0.6945626,0.5218280
16.7718203,7.4098458,3.6934467,2.4875029,0.6848769,0.5246039
16.8217364,7.3628132,3.7100518,2.4692606,0.6737534,0.5281328
16.8716526,7.3155783,3.7260242,2.4517179,0.6626299,0.5316617
16.9215687,7.2681410,3.7413430,2.4348652,0.6515064,0.5351906
16.9714848,7.2204306,3.7560082,2.4186994,0.6403829,0.5387194
17.0214010,7.1724763,3.7699890,2.4032251,0.6292594,0.5422483
17.0713171,7.1243293,3.7832510,2.3884574,0.6181359,0.5457772
17.1212332,7.0759967,3.7957741,2.3744621,0.6070124,0.5493061
17.1711494,7.0274852,3.8075381,2.3613479,0.5958889,0.5528349
17.2210655,6.9788019,3.8185227,2.3492553,0.5847654,0.5563638
17.2709816,6.9299535,3.8287079,2.3383800,0.5744649,0.5600652
17.3208977,6.8809471,3.8380734,2.3290458,0.5669760,0.5643562
17.3708139,6.8317895,3.8465990,2.3212575,0.5594871,0.5686472
17.4207300,6.7824876,3.8542645,2.3147871,0.5519982,0.5729382
17.4706461,6.7330911,3.8610451,2.3093471,0.5445094,0.5772292
17.5205623,6.6835893,3.8669342,2.3045860,0.5370205,0.5815202
17.5704784,6.6339768,3.8719286,2.3000187,0.5295316,0.5858112
17.6203945,6.5842679,3.8760222,2.2954639,0.5220427,0.5901022
17.6703107,6.5344769,3.8792088,2.2909545,0.5145539,0.5943932
17.7202268,6.4846181,3.8814824,2.2865571,0.5070650,0.5986842
17.7701429,6.4347060,3.8828369,2.2823644,0.5000000,0.6031325
17.8200591,6.3847548,3.8832661,2.2786129,0.5000000,0.6102017
17.8699752,6.3347789,3.8827640,2.2753182,0.5000000,0.6172709
17.9198913,6.2847926,3.8813244,2.2736234,0.5000000,0.6243401
17.9698075,6.2350055,3.8789550,2.2742686,0.5000000,0.6314093
18.0197236,6.1853045,3.8756771,2.2777304,0.5000000,0.6384785
18.0696397,6.1356334,3.8715205,2.2842084,0.5000000,0.6455477
18.1195559,6.0860051,3.8665174,2.2940350,0.5000000,0.6526169
18.1694720,6.0364324,3.8607003,2.3063446,0.5000000,0.6596861
18.2193881,5.9869282,3.8541017,2.3206118,0.5000000,0.6667554
18.2693043,5.9375053,3.8467538,2.3365061,0.5000000,0.6738246
18.3192204,5.8881765,3.8386893,2.3537879,0.5061712,0.6813816
18.3691365,5.8389546,3.8299403,2.3722727,0.5131302,0.6890008
18.4190526,5.7898526,3.8205394,2.3919794,0.5200893,0.6966201
18.4689688,5.7408986,3.8105234,2.4129934,0.5270483,0.7042394
18.5188849,5.6920818,3.7999319,2.4354007,0.5340073,0.7118586
18.5688010,5.6433907,3.7888097,2.4592858,0.5409663,0.7194779
18.6187172,5.5948194,3.7772023,2.4847302,0.5479253,0.7270972
18.6686333,5.5463623,3.7651558,2.5116436,0.5548844,0.7347165
18.7185494,5.4980134,3.7527157,2.5398895,0.5618434,0.7423357
18.7684656,5.4497669,3.7399281,2.5691470,0.5688024,0.7499550
18.8183817,5.4016170,3.7268386,2.5989736,0.5818521,0.7470598
18.8682978,5.3535579,3.7134930,2.6289599,0.5973061,0.7400142
18.9182140,5.3055838,3.6999371,2.6587273,0.6127601,0.7329686
