s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
14.7394323,-0.6911683,0.9701402,1.4784106,0.7822309,0.2177691
14.8390231,-0.7242364,1.0643919,1.4272251,0.7910251,0.2089749
14.9386138,-0.7482110,1.1611312,1.3775392,0.7716581,0.2283419
15.0382046,-0.7620433,1.2595030,1.3742624,0.7522912,0.2477088
15.1377953,-0.7647392,1.3588108,1.3720521,0.7329242,0.2670758
15.2373861,-0.7562507,1.4580476,1.3804368,0.7135573,0.2864427
15.3369769,-0.7373881,1.5560395,1.4185847,0.7074165,0.2925835
15.4365676,-0.7089962,1.6517319,1.4569638,0.7267835,0.2732165
15.5361584,-0.6719200,1.7440699,1.4902696,0.7461504,0.2538496
15.6357491,-0.6265191,1.8328532,1.5133302,0.7655174,0.2344826
15.7353399,-0.5727289,1.9180337,1.5226011,0.7848843,0.2151157
15.8349306,-0.5120514,1.9974081,1.5324064,0.7925089,0.2074911
15.9345214,-0.4451177,2.0707022,1.5433185,0.7583825,0.2416175
16.0341122,-0.3725586,2.1376417,1.5539584,0.7242562,0.2757438
16.1337029,-0.2946242,2.1982258,1.5627558,0.6901299,0.3098701
16.2332937,-0.2109845,2.2529074,1.5798858,0.6560036,0.3439964
16.3328844,-0.1236730,2.3011727,1.6244678,0.6212944,0.3787056
16.4324752,-0.0335250,2.3436022,1.6813499,0.5811934,0.4188066
16.5320660,0.0586241,2.3807761,1.7461601,0.5410924,0.4589076
16.6316567,0.1522850,2.4133853,1.8166268,0.5009914,0.4990086
16.7312475,0.2476939,2.4420860,1.8882194,0.4608905,0.5391095
16.8308382,0.3438385,2.4667911,1.9517719,0.4207895,0.5792105
16.9304290,0.4408722,2.4877986,2.0109895,0.3933183,0.6066817
17.0300198,0.5389481,2.5054067,2.0687514,0.3661629,0.6338371
17.1296105,0.6374840,2.5198161,2.1270505,0.3390075,0.6609925
17.2292013,0.7356440,2.5312152,2.1854596,0.3118521,0.6881479
17.3287920,0.8347054,2.5399118,2.2407252,0.2846967,0.7153033
17.4283828,0.9344118,2.5459565,2.2929241,0.2725031,0.7274969
17.5279735,1.0345070,2.5494001,2.3420528,0.2628745,0.7371255
17.6275643,1.1347357,2.5502943,2.3880363,0.2532458,0.7467542
17.7271551,1.2348759,2.5487583,2.4325990,0.2436171,0.7563829
17.8267458,1.3347574,2.5450274,2.4799988,0.2339884,0.7660116
17.9263366,1.4342180,2.5393489,2.5297480,0.2329602,0.7670398
18.0259273,1.5330954,2.5319697,2.5814979,0.2350856,0.7649144
18.1255181,1.6320770,2.5230545,2.6350014,0.2372109,0.7627891
18.2251089,1.7325065,2.5126598,2.6902285,0.2393363,0.7606637
18.3246996,1.8320159,2.5012505,2.7466733,0.2414616,0.7585384
18.4242904,1.9306067,2.4890964,2.8005585,0.2481754,0.7518246
18.5238811,2.0282804,2.4764678,2.7590526,0.2578258,0.7421742
18.6234719,2.1264957,2.4634405,2.6793737,0.2674762,0.7325238
